crate	0BSD	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	ISC	MIT	MPL-2.0	OpenSSL	Unicode-3.0	Unlicense	Zlib
addr2line@0.24.2		X							X					
adler2@2.0.0	X	X							X					
aho-corasick@1.1.3									X				X	
android-tzdata@0.1.1		X							X					
android_system_properties@0.1.5		X							X					
anstream@0.6.18		X							X					
anstyle@1.0.10		X							X					
anstyle-parse@0.2.6		X							X					
anstyle-query@1.1.2		X							X					
anstyle-wincon@3.0.6		X							X					
anyhow@1.0.95		X							X					
async-notify@0.3.0									X					
async-trait@0.1.85		X							X					
autocfg@1.4.0		X							X					
backon@1.3.0		X												
backtrace@0.3.74		X							X					
base64@0.22.1		X							X					
bincode@1.3.3									X					
bitflags@2.6.0		X							X					
block-buffer@0.10.4		X							X					
bumpalo@3.16.0		X							X					
byteorder@1.5.0									X				X	
bytes@1.9.0									X					
cc@1.2.7		X							X					
cfg-if@1.0.0		X							X					
cfg_aliases@0.2.1									X					
chrono@0.4.39		X							X					
clap@4.5.24		X							X					
clap_builder@4.5.24		X							X					
clap_derive@4.5.24		X							X					
clap_lex@0.7.4		X							X					
cloud-filter@0.0.5									X					
cloud_filter_opendal@0.0.5		X												
colorchoice@1.0.3		X							X					
concurrent-queue@2.5.0		X							X					
const-oid@0.9.6		X							X					
const-random@0.1.18		X							X					
const-random-macro@0.1.16		X							X					
core-foundation-sys@0.8.7		X							X					
cpufeatures@0.2.16		X							X					
crc32c@0.6.8		X							X					
crossbeam-utils@0.8.21		X							X					
crunchy@0.2.2									X					
crypto-common@0.1.6		X							X					
deranged@0.3.11		X							X					
digest@0.10.7		X							X					
displaydoc@0.2.5		X							X					
dlv-list@0.5.2		X							X					
dotenvy@0.15.7									X					
either@1.13.0		X							X					
env_filter@0.1.3		X							X					
errno@0.3.10		X							X					
event-listener@4.0.3		X							X					
fastrand@2.3.0		X							X					
flagset@0.4.6		X												
fnv@1.0.7		X							X					
