crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	MIT-0	Unicode-3.0	Unlicense
aes@0.8.4	X									X			
anyhow@1.0.102	X									X			
async-trait@0.1.89	X									X			
atomic-waker@1.1.2	X									X			
autocfg@1.5.0	X									X			
aws-lc-rs@1.16.3	X							X					
aws-lc-sys@0.40.0	X			X				X		X	X		
backon@1.6.0	X												
base64@0.22.1	X									X			
base64ct@1.8.3	X									X			
bitflags@2.11.1	X									X			
block-buffer@0.10.4	X									X			
block-padding@0.3.3	X									X			
bumpalo@3.20.2	X									X			
bytes@1.11.1										X			
cbc@0.1.2	X									X			
cc@1.2.60	X									X			
cesu8@1.1.0	X									X			
cfg-if@1.0.4	X									X			
cipher@0.4.4	X									X			
cmake@0.1.58	X									X			
combine@4.6.7										X			
const-oid@0.9.6	X									X			
const-random@0.1.18	X									X			
const-random-macro@0.1.16	X									X			
core-foundation@0.10.1	X									X			
core-foundation-sys@0.8.7	X									X			
cpufeatures@0.2.17	X									X			
crc32c@0.6.8	X									X			
crunchy@0.2.4										X			
crypto-common@0.1.7	X									X			
ctor@0.6.3	X									X			
ctor-proc-macro@0.0.7	X									X			
der@0.7.10	X									X			
deranged@0.5.8	X									X			
digest@0.10.7	X									X			
displaydoc@0.2.5	X									X			
dlv-list@0.5.2	X									X			
dtor@0.1.1	X									X			
dtor-proc-macro@0.0.6	X									X			
dunce@1.0.5	X					X					X		
either@1.15.0	X									X			
errno@0.3.14	X									X			
fastrand@2.4.1	X									X			
find-msvc-tools@0.1.9	X									X			
form_urlencoded@1.2.2	X									X			
fs_extra@1.3.0										X			
futures@0.3.32	X									X			
futures-channel@0.3.32	X									X			
futures-core@0.3.32	X									X			
futures-executor@0.3.32	X									X			
futures-io@0.3.32	X									X			
futures-macro@0.3.32	X									X			
futures-sink@0.3.32	X									X			
futures-task@0.3.32	X									X			
futures-util@0.3.32	X									X			
generic-array@0.14.7										X			
getrandom@0.2.17	X									X			
getrandom@0.3.4	X									X			
getrandom@0.4.2	X									X			
ghac@0.2.0	X												
gloo-timers@0.3.0	X									X			
hashbrown@0.14.5	X									X			
hex@0.4.3	X									X			
hmac@0.12.1	X									X			
http@1.4.0	X									X			
http-body@1.0.1										X			
http-body-util@0.1.3										X			
httparse@1.10.1	X									X			
hyper@1.9.0										X			
hyper-rustls@0.27.9	X							X		X			
hyper-util@0.1.20										X			
icu_collections@2.1.1												X	
icu_locale_core@2.1.1												X	
icu_normalizer@2.1.1												X	
icu_normalizer_data@2.1.1												X	
icu_properties@2.1.2												X	
icu_properties_data@2.1.2												X	
icu_provider@2.1.1												X	
idna@1.1.0	X									X			
idna_adapter@1.2.1	X									X			
inout@0.1.4	X									X			
ipnet@2.12.0	X									X			
iri-string@0.7.12	X									X			
itertools@0.14.0	X									X			
itoa@1.0.18	X									X			
jiff@0.2.23										X			X
jiff-tzdb@0.1.6										X			X
jiff-tzdb-platform@0.1.3										X			X
jni@0.21.1	X									X			
jni-sys@0.3.1	X									X			
jni-sys@0.4.1	X									X			
jni-sys-macros@0.4.1	X									X			
jobserver@0.1.34	X									X			
js-sys@0.3.95	X									X			
jsonwebtoken@10.3.0										X			
lazy_static@1.5.0	X									X			
libc@0.2.185	X									X			
libm@0.2.16										X			
linux-raw-sys@0.12.1	X	X								X			
litemap@0.8.2												X	
lock_api@0.4.14	X									X			
log@0.4.29	X									X			
md-5@0.10.6	X									X			
mea@0.6.3	X												
memchr@2.8.0										X			X
mio@1.2.0										X			
num-bigint@0.4.6	X									X			
num-bigint-dig@0.8.6	X									X			
num-conv@0.2.1	X									X			
num-integer@0.1.46	X									X			
num-iter@0.1.45	X									X			
num-traits@0.2.19	X									X			
once_cell@1.21.4	X									X			
opendal@0.56.0	X												
opendal-core@0.56.0	X												
opendal-hs@0.0.0	X												
opendal-layer-concurrent-limit@0.56.0	X												
opendal-layer-logging@0.56.0	X												
opendal-layer-retry@0.56.0	X												
opendal-layer-timeout@0.56.0	X												
opendal-service-azblob@0.56.0	X												
opendal-service-azdls@0.56.0	X												
opendal-service-azfile@0.56.0	X												
opendal-service-azure-common@0.56.0	X												
opendal-service-cos@0.56.0	X												
opendal-service-fs@0.56.0	X												
opendal-service-gcs@0.56.0	X												
opendal-service-ghac@0.56.0	X												
opendal-service-http@0.56.0	X												
opendal-service-ipmfs@0.56.0	X												
opendal-service-obs@0.56.0	X												
