crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	Unicode-3.0	Unlicense	Zlib
aes@0.8.4	X									X			
aho-corasick@1.1.4										X		X	
allocator-api2@0.2.21	X									X			
android_system_properties@0.1.5	X									X			
anyhow@1.0.100	X									X			
async-trait@0.1.89	X									X			
atomic-waker@1.1.2	X									X			
autocfg@1.5.0	X									X			
backon@1.6.0	X												
base64@0.22.1	X									X			
base64ct@1.8.0	X									X			
bindgen@0.69.5				X									
bitflags@2.10.0	X									X			
block-buffer@0.10.4	X									X			
block-padding@0.3.3	X									X			
bumpalo@3.19.0	X									X			
bytes@1.11.0										X			
cbc@0.1.2	X									X			
cc@1.2.47	X									X			
cexpr@0.6.0	X									X			
cfg-if@1.0.4	X									X			
chrono@0.4.42	X									X			
cipher@0.4.4	X									X			
clang-sys@1.8.1	X												
const-oid@0.9.6	X									X			
const-random@0.1.18	X									X			
const-random-macro@0.1.16	X									X			
core-foundation-sys@0.8.7	X									X			
cpufeatures@0.2.17	X									X			
crc32c@0.6.8	X									X			
crossbeam-utils@0.8.21	X									X			
crunchy@0.2.4										X			
crypto-common@0.1.7	X									X			
dashmap@6.1.0										X			
der@0.7.10	X									X			
deranged@0.5.5	X									X			
digest@0.10.7	X									X			
displaydoc@0.2.5	X									X			
dlv-list@0.5.2	X									X			
either@1.15.0	X									X			
equivalent@1.0.2	X									X			
fastrand@2.3.0	X									X			
find-msvc-tools@0.1.5	X									X			
fnv@1.0.7	X									X			
foldhash@0.2.0													X
form_urlencoded@1.2.2	X									X			
futures@0.3.31	X									X			
futures-channel@0.3.31	X									X			
futures-core@0.3.31	X									X			
futures-io@0.3.31	X									X			
futures-macro@0.3.31	X									X			
futures-sink@0.3.31	X									X			
futures-task@0.3.31	X									X			
futures-timer@3.0.3	X									X			
futures-util@0.3.31	X									X			
generic-array@0.14.7										X			
getrandom@0.2.16	X									X			
getrandom@0.3.4	X									X			
ghac@0.2.0	X												
glob@0.3.3	X									X			
gloo-timers@0.3.0	X									X			
governor@0.10.2										X			
hashbrown@0.14.5	X									X			
hashbrown@0.16.1	X									X			
hex@0.4.3	X									X			
hmac@0.12.1	X									X			
home@0.5.11	X									X			
http@1.3.1	X									X			
http-body@1.0.1										X			
http-body-util@0.1.3										X			
httparse@1.10.1	X									X			
hyper@1.8.1										X			
hyper-rustls@0.27.7	X							X		X			
hyper-util@0.1.18										X			
iana-time-zone@0.1.64	X									X			
iana-time-zone-haiku@0.1.2	X									X			
icu_collections@2.1.1											X		
