crate	0BSD	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	ISC	LGPL-2.1-or-later	MIT	MPL-2.0	Unicode-3.0	Unlicense	Zlib
addr2line@0.24.2		X							X				
adler2@2.0.0	X	X							X				
android-tzdata@0.1.1		X							X				
android_system_properties@0.1.5		X							X				
anyhow@1.0.97		X							X				
async-trait@0.1.88		X							X				
atomic-waker@1.1.2		X							X				
autocfg@1.4.0		X							X				
backon@1.4.1		X											
backtrace@0.3.74		X							X				
base64@0.22.1		X							X				
bitflags@2.9.0		X							X				
block-buffer@0.10.4		X							X				
bumpalo@3.17.0		X							X				
bytes@1.10.1									X				
cc@1.2.17		X							X				
cfg-if@1.0.0		X							X				
chrono@0.4.40		X							X				
const-oid@0.9.6		X							X				
core-foundation-sys@0.8.7		X							X				
cpufeatures@0.2.17		X							X				
crc32c@0.6.8		X							X				
crypto-common@0.1.6		X							X				
digest@0.10.7		X							X				
displaydoc@0.2.5		X							X				
dotenvy@0.15.7									X				
equivalent@1.0.2		X							X				
fastrand@2.3.0		X							X				
fnv@1.0.7		X							X				
form_urlencoded@1.2.1		X							X				
futures@0.3.31		X							X				
futures-channel@0.3.31		X							X				
futures-core@0.3.31		X							X				
futures-io@0.3.31		X							X				
futures-macro@0.3.31		X							X				
futures-sink@0.3.31		X							X				
futures-task@0.3.31		X							X				
futures-util@0.3.31		X							X				
generic-array@0.14.7									X				
getrandom@0.2.15		X							X				
getrandom@0.3.2		X							X				
gimli@0.31.1		X							X				
gloo-timers@0.3.0		X							X				
h2@0.4.8									X				
hashbrown@0.15.2		X							X				
hex@0.4.3		X							X				
hmac@0.12.1		X							X				
home@0.5.11		X							X				
http@1.3.1		X							X				
http-body@1.0.1									X				
http-body-util@0.1.3									X				
httparse@1.10.1		X							X				
hyper@1.6.0									X				
hyper-rustls@0.27.5		X					X		X				
hyper-util@0.1.11									X				
iana-time-zone@0.1.63		X							X				
iana-time-zone-haiku@0.1.2		X							X				
