crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	Unicode-3.0	Unlicense
ahash@0.8.12	X									X		
android_system_properties@0.1.5	X									X		
anyhow@1.0.100	X									X		
arrow-array@54.3.1	X											
arrow-buffer@54.3.1	X											
arrow-cast@54.3.1	X											
arrow-data@54.3.1	X											
arrow-ipc@54.3.1	X											
arrow-schema@54.3.1	X											
arrow-select@54.3.1	X											
async-trait@0.1.89	X									X		
atoi@2.0.0										X		
atomic-waker@1.1.2	X									X		
autocfg@1.5.0	X									X		
backon@1.6.0	X											
base64@0.22.1	X									X		
bitflags@1.3.2	X									X		
bitflags@2.10.0	X									X		
block-buffer@0.10.4	X									X		
bumpalo@3.19.0	X									X		
byteorder@1.5.0										X		X
bytes@1.11.0										X		
cc@1.2.47	X									X		
cfg-if@1.0.4	X									X		
chrono@0.4.42	X									X		
const-oid@0.9.6	X									X		
const-random@0.1.18	X									X		
const-random-macro@0.1.16	X									X		
core-foundation-sys@0.8.7	X									X		
cpufeatures@0.2.17	X									X		
crc32c@0.6.8	X									X		
crunchy@0.2.4										X		
crypto-common@0.1.7	X									X		
digest@0.10.7	X									X		
displaydoc@0.2.5	X									X		
dlv-list@0.5.2	X									X		
fastrand@2.3.0	X									X		
find-msvc-tools@0.1.5	X									X		
flatbuffers@24.12.23	X											
fnv@1.0.7	X									X		
form_urlencoded@1.2.2	X									X		
futures@0.3.31	X									X		
futures-channel@0.3.31	X									X		
futures-core@0.3.31	X									X		
futures-executor@0.3.31	X									X		
futures-io@0.3.31	X									X		
futures-macro@0.3.31	X									X		
futures-sink@0.3.31	X									X		
futures-task@0.3.31	X									X		
futures-util@0.3.31	X									X		
generic-array@0.14.7										X		
getrandom@0.2.16	X									X		
getrandom@0.3.4	X									X		
gloo-timers@0.3.0	X									X		
half@2.7.1	X									X		
hashbrown@0.14.5	X									X		
hashbrown@0.15.5	X									X		
hex@0.4.3	X									X		
hmac@0.12.1	X									X		
http@1.3.1	X									X		
http-body@1.0.1										X		
http-body-util@0.1.3										X		
httparse@1.10.1	X									X		
hyper@1.8.1										X		
hyper-rustls@0.27.7	X							X		X		
hyper-util@0.1.18										X		
iana-time-zone@0.1.64	X									X		
iana-time-zone-haiku@0.1.2	X									X		
icu_collections@2.1.1											X	
icu_locale_core@2.1.1											X	
icu_normalizer@2.1.1											X	
icu_normalizer_data@2.1.1											X	
icu_properties@2.1.1											X	
icu_properties_data@2.1.1											X	
icu_provider@2.1.1											X	
idna@1.1.0	X									X		
idna_adapter@1.2.1	X									X		
integer-encoding@3.0.4										X		
ipnet@2.11.0	X									X		
iri-string@0.7.9	X									X		
itoa@1.0.15	X									X		
jiff@0.2.16										X		X
jiff-tzdb@0.1.4										X		X
jiff-tzdb-platform@0.1.3										X		X
js-sys@0.3.82	X									X		
lexical-core@1.0.6	X									X		
lexical-parse-float@1.0.6	X									X		
lexical-parse-integer@1.0.6	X									X		
lexical-util@1.0.7	X									X		
lexical-write-float@1.0.6	X									X		
lexical-write-integer@1.0.6	X									X		
libc@0.2.177	X									X		
libm@0.2.15										X		
litemap@0.8.1											X	
